2026-05-07 11:14:30 | INFO | __main__:main:57 | Framework startup | run_id=run_20260507_111346 | log_file=C:\Users\DeepakRaj\OneDrive - PiOne Technologies LLP\Documents\2026_auto_test\automation_framework\logs\run_20260507_111346.log | base_url=https://catsentinel.pionedata.com
2026-05-07 11:14:31 | INFO | __main__:main:62 | Login started
2026-05-07 11:14:33 | INFO | __main__:main:65 | Login successful
2026-05-07 11:14:33 | INFO | __main__:main:67 | Current URL after login: https://catsentinel.pionedata.com/live-events
2026-05-07 11:14:33 | INFO | __main__:main:71 | Expanding navigation if needed
2026-05-07 11:14:34 | INFO | automation_framework.crawler.navigation_expander:ensure_navigation_expanded:25 | Sidebar navigation not detected
2026-05-07 11:14:34 | INFO | __main__:main:74 | Crawler execution started
2026-05-07 11:14:34 | INFO | automation_framework.crawler.ui_wait_engine:wait_for_ui_stability:25 | Waiting for UI stability on page: https://catsentinel.pionedata.com/live-events
2026-05-07 11:14:36 | INFO | automation_framework.crawler.crawler_engine:_scan_route:209 | Scanning route: https://catsentinel.pionedata.com/live-events (menu: live-events)
2026-05-07 11:14:36 | INFO | automation_framework.engine.ui_intelligence_engine:build_ui_intelligence:150 | Building UI intelligence for route: https://catsentinel.pionedata.com/live-events
2026-05-07 11:14:41 | INFO | automation_framework.crawler.crawler_engine:crawl:77 | Discovered 16 menu items to explore
2026-05-07 11:14:41 | INFO | automation_framework.crawler.crawler_engine:_visit_menu_item:146 | Skipping already-visited menu route: Live Events (https://catsentinel.pionedata.com/live-events)
2026-05-07 11:14:41 | INFO | automation_framework.crawler.crawler_engine:_visit_menu_item:149 | Visiting menu: CAT History -> https://catsentinel.pionedata.com/cat-history
2026-05-07 11:14:41 | INFO | automation_framework.crawler.ui_wait_engine:wait_for_ui_stability:25 | Waiting for UI stability on page: https://catsentinel.pionedata.com/cat-history
2026-05-07 11:14:41 | INFO | automation_framework.crawler.crawler_engine:_scan_route:209 | Scanning route: https://catsentinel.pionedata.com/cat-history (menu: CAT History)
2026-05-07 11:14:41 | INFO | automation_framework.engine.ui_intelligence_engine:build_ui_intelligence:150 | Building UI intelligence for route: https://catsentinel.pionedata.com/cat-history
2026-05-07 11:14:41 | INFO | automation_framework.crawler.crawler_engine:_scan_route:221 | Empty scan on https://catsentinel.pionedata.com/cat-history, retrying after stabilization wait
2026-05-07 11:14:44 | INFO | automation_framework.engine.ui_intelligence_engine:build_ui_intelligence:150 | Building UI intelligence for route: https://catsentinel.pionedata.com/cat-history
2026-05-07 11:14:45 | INFO | automation_framework.crawler.crawler_engine:_visit_menu_item:149 | Visiting menu: Risk Map -> https://catsentinel.pionedata.com/risk-map
2026-05-07 11:14:45 | INFO | automation_framework.crawler.ui_wait_engine:wait_for_ui_stability:25 | Waiting for UI stability on page: https://catsentinel.pionedata.com/risk-map
